# generated by: node --experimental-strip-types experiments/scripts/summarize.ts
run_id,dataset,arm,model,tasks,succeeded,accuracy,tokens_in,tokens_out,usd,wall_mean_ms,completed
2026-09-21T20-39-28-628ZZ-seed0,gsm8k,direct,DeepSeek-V4.1-Flash,2,2,1.0000,206,227,0.000000,1380,true
2026-09-21T20-58-51-436ZZ-seed0,gsm8k,direct,DeepSeek-V4.1-Flash,200,191,0.9550,20055,26610,0.000000,1678,true
2026-09-21T21-51-41-431ZZ-seed0,gsm8k,direct,DeepSeek-V4.1-Flash,200,192,0.9600,20055,27694,0.000000,1740,true
2026-09-22T07-58-37-796ZZ-seed0,gsm8k,jevloop,DeepSeek-V4.1-Flash,2,0,0.0000,378,255,0.000000,6727,true
2026-09-22T08-00-10-626ZZ-seed0,gsm8k,jevloop,DeepSeek-V4.1-Flash,2,0,0.0000,0,0,0.000000,432,true
2026-09-22T08-01-21-497ZZ-seed0,gsm8k,jevloop,DeepSeek-V4.1-Flash,2,2,1.0000,510,256,0.000000,17631,true
2026-09-22T08-03-07-835ZZ-seed0,gsm8k,jevloop,DeepSeek-V4.1-Flash,200,144,0.7200,33502,19871,0.000000,9223,true
2026-09-22T09-00-00-852ZZ-seed0,gsm8k,jevloop,DeepSeek-V4.1-Flash,7,2,0.2857,1723,1102,0.000000,7738,true
